plot_ID,harvest_status,gap_status,date,site_name,measured_by,tallied_by,entered_by,notes,Property,Stand_name
MPunh3,NO,NO,6/10/2020,Mud Pond,"CS, ED",HH,MW,,Mud Pond property,Mud Pond unharvested
MP1314mat2,YES,NO,6/15/2020,Mud Pond ,"CS, ED",HH,MW,* pic @ 10:43 AM,Mud Pond property,Mud Pond 2013-14
MP1314mat3,YES,NO,6/15/2020,Mud Pond,"CS, ED",HH,MW,,Mud Pond property,Mud Pond 2013-14
MPunh4,NO,NO,6/15/2020,Mud Pond,"CS, ED",HH,MW,,Mud Pond property,Mud Pond unharvested
CH224mat1,YES,NO,6/22/2020,Camel's Hump SP,"ED, HT",HH,MW,pretty thinned,Camel's Hump State Park,Camel's Hump SP stand 2-2-4
CH231unh2,NO,NO,6/23/2020,Camel's Hump SP,"CS, ED",HH,MW,,Camel's Hump State Park,Camel's Hump SP stand 2-3-1
CH231unh3,NO,NO,6/23/2020,Camel's Hump SP,"CS, ED",HH,MW,,Camel's Hump State Park,Camel's Hump SP stand 2-3-1
CH231unh4,NO,NO,6/23/2020,Camel's Hump SP,"CS, ED",HH,MW,,Camel's Hump State Park,Camel's Hump SP stand 2-3-1
CWEunh1,NO,NO,6/24/2020,Clements Woodlot,"CS, ED",HH,MW,near Corinth team permanent plot,Clement Woodlot,Clements Woodlot East
CWEunh2,NO,NO,6/24/2020,Clements Woodlot,"CS, ED",HH,MW,,Clement Woodlot,Clements Woodlot East
CWEunh3,NO,NO,6/24/2020,Clements Woodlot,"CS, ED",HH,MW,,Clement Woodlot,Clements Woodlot East
CWEunh4,NO,NO,6/24/2020,Clements Woods,"CS, ED",HH,MW,,Clement Woodlot,Clements Woodlot East
JNPunh1,NO,NO,6/25/2020,Joe Nelson Property,"CS, ED",HH,MW,,Joe Nelson property,Joe Nelson property
JNPunh2,NO,NO,6/25/2020,Joe Nelson Property,"CS, ED",HH,MW,,Joe Nelson property,Joe Nelson property
JNPunh3,NO,NO,6/25/2020,Joe Nelson Property,"CS, ED",HH,MW,,Joe Nelson property,Joe Nelson property
JNPunh4,NO,NO,6/25/2020,Joe Nelson Property,"CS, ED",HH,MW,,Joe Nelson property,Joe Nelson property
JMP7mat1,YES,NO,7/2/2020,Jason Mills Property ,"CS,ED",HH,ED,,Jason Mills property,Jason Mills property stand 7
JMP7mat2,YES,NO,7/2/2020,Jason Mills Property,"CS,ED",HH,ED,,Jason Mills property,Jason Mills property stand 7
JMP7mat3,YES,NO,7/2/2020,Jason Mills Property,"CS,ED",HH,ED,,Jason Mills property,Jason Mills property stand 7
JMP3unh1,NO,NO,7/2/2020,Jason Mills Property,"CS,ED",HH,ED,,Jason Mills property,Jason Mills property stand 3
HSP118unh1,NO,NO,7/16/2020,Holbrook State Park,"HT, ED",HH,MW,,Holbrook State Park,Holbrook State Park stand 1-1-8
HSP118unh2,NO,NO,7/16/2020,Holbrook State Park,"ED, HT",HH,MW,green ash understory!,Holbrook State Park,Holbrook State Park stand 1-1-8
HSP118unh3,NO,NO,7/16/2020,Holbrook State Park,"ED, HT",HH,MW,,Holbrook State Park,Holbrook State Park stand 1-1-8
HSP118unh4,NO,NO,7/16/2020,Holbrook State Park,"ED, HT",HH,MW,,Holbrook State Park,Holbrook State Park stand 1-1-8
MSF3111unh1,NO,NO,7/16/2020,Mathewson State Forest,"ED, HT",HH,MW,,Mathewson State Forest,Mathewson State Forest stand 3-1-11
MSF3111unh2,NO,NO,7/16/2020,Mathewson State Forest,"ED, HT",HH,MW,,Mathewson State Forest,Mathewson State Forest stand 3-1-11
MSF3111unh3,NO,NO,7/16/2020,Mathewson State Forest,"ED, HT",HH,MW,,Mathewson State Forest,Mathewson State Forest stand 3-1-11
MSF3111unh4,NO,NO,7/16/2020,Mathewson State Forest,"ED, HT",HH,MW,,Mathewson State Forest,Mathewson State Forest stand 3-1-11
TNCLPmat1,YES,NO,7/28/2020,The Nature Conservancy Long Pond,"CS, ED",HH,MW,,Long Pond property,Long Pond harvested
TNCLPgap1,YES,YES,7/28/2020,The Nature Conservancy Long Pond,"CS, ED",HH,MW,,Long Pond property,Long Pond harvested
TNCLPmat2,YES,NO,7/28/2020,The Nature Conservancy Long Pond,"CS, ED",HH,MW,,Long Pond property,Long Pond harvested
TNCLPgap2,YES,YES,7/28/2020,The Nature Conservancy Long Pond,"CS, ED",HH,MW,,Long Pond property,Long Pond harvested
TNCLPmat3,YES,NO,7/28/2020,The Nature Conservancy Long Pond,"CS, ED",HH,MW,,Long Pond property,Long Pond harvested
TNCLPgap3,YES,YES,7/28/2020,The Nature Conservancy Long Pond,"CS, ED",HH,MW,,Long Pond property,Long Pond harvested
TNCLPunh1,NO,NO,7/29/2020,TNC Long Pond,"CS, ED",HH,MW,,Long Pond property,Long Pond unharvested
TNCLPunh2,NO,NO,7/29/2020,TNC Long Pond,"CS, ED",HH,MW,,Long Pond property,Long Pond unharvested
TNCLPunh3,NO,NO,7/29/2020,TNC Long Pond,"CS, ED",HH,MW,,Long Pond property,Long Pond unharvested
TNCLPunh4,NO,NO,7/29/2020,TNC Long Pond,"CS, ED",HH,MW,,Long Pond property,Long Pond unharvested
SWunh1,NO,NO,7/29/2020,Stoner Woodlot,"CS, ED",HH,MW,,Stoner Woodlot,Stoner Woodlot
SWunh2,NO,NO,7/29/2020,Stoner Woodlot,"CS, ED",HH,MW,,Stoner Woodlot,Stoner Woodlot
SWunh3,NO,NO,7/29/2020,Stoner Woodlot,"CS, ED",HH,MW,,Stoner Woodlot,Stoner Woodlot
SWunh4,NO,NO,7/29/2020,Stoner Woodlot,"CS, ED",HH,MW,,Stoner Woodlot,Stoner Woodlot
OMSFHRmat1,YES,NO,8/10/2020,October Mtn SF - Heapy Richardson Lot,"HT, MW",HH,MW,,October Mountain State Forest,Heaphy Richardson Lot
OMSFHRgap1,YES,YES,8/10/2020,October Mtn SF - Heapy Richardson Lot,"HT, MW",HH,MW,,October Mountain State Forest,Heaphy Richardson Lot
OMSFHRgap2,YES,YES,8/10/2020,October Mtn SF - Heapy Richardson Lot,"HT, MW",HH,MW,,October Mountain State Forest,Heaphy Richardson Lot
OMSFHRmat2,YES,NO,8/10/2020,October Mtn SF - Heapy Richardson Lot,"HT, MW",HH,MW,,October Mountain State Forest,Heaphy Richardson Lot
OMSFHRgap3,YES,YES,8/10/2020,October Mtn SF,"HT, MW",HH,MW,,October Mountain State Forest,Heaphy Richardson Lot
OMSFHRmat3,YES,NO,8/10/2020,October Mtn SF - Heapy Richardson Lot,"HT, MW",HH,MW,,October Mountain State Forest,Heaphy Richardson Lot
OMSFSCHmat1,YES,NO,8/11/2020,October Mtn SF Schoolhouse Lot,"HT, MW",HH,MW,,October Mountain State Forest,"Schoolhouse Lot, BB stand"
OMSFSCHgap1,YES,YES,8/11/2020,October Mtn SF Schoolhouse Lot,"HT, MW",HH,MW,,October Mountain State Forest,"Schoolhouse Lot, BB stand"
OMSFSCHgap2,YES,YES,8/11/2020,October Mtn SF Schoolhouse Lot,"HT, MW",HH,MW,,October Mountain State Forest,"Schoolhouse Lot, BB stand"
OMSFSCHmat2,YES,NO,8/11/2020,"October Mtn SF Schoolhouse Lot, BB stand","HT, MW",HH,MW,,October Mountain State Forest,"Schoolhouse Lot, BB stand"
OMSFSCHmat3,YES,NO,8/11/2020,October Mtn SF,"HT, MW",HH,MW,,October Mountain State Forest,"Schoolhouse Lot, BB stand"
OMSFSCHgap3,YES,YES,8/11/2020,"October Mtn SF Schoolhouse Lot, BB stand","HT, MW",HH,MW,,October Mountain State Forest,"Schoolhouse Lot, BB stand"
OMSFCRmat1,YES,NO,8/11/2020,October Mtn SF County Rd ash salvage,"HT, MW",HH,MW,,October Mountain State Forest,County Rd ash salvage
OMSFCRgap1,YES,NO,8/11/2020,October Mtn SF County Rd ash salvage,"HT, MW",HH,MW,,October Mountain State Forest,County Rd ash salvage
OSFCD1gap1,YES,YES,8/12/2020,Otis SF - Clam Dam stand 1,"HT, MW, JW",HH,MW,,Otis State Forest,Clam Dam unit 1
OSFCD1mat1,YES,NO,8/12/2020,Otis SF - Clam Dam stand 2,"HT, MW, JW",HH,MW,,Otis State Forest,Clam Dam unit 1
OSFCD1gap2,YES,YES,8/12/2020,Otis SF - Clam Dam unit 1,"HT, MW, JW",HH,MW,,Otis State Forest,Clam Dam unit 1
OSFCD1mat2,YES,NO,8/12/2020,Otis SF - Clam Dam unit 2,"HT, MW, JW",HH,MW,,Otis State Forest,Clam Dam unit 1
OSFCD1gap3,YES,YES,8/12/2020,Otis SF - Clam Dam unit 1,"HT, MW, JW",HH,MW,,Otis State Forest,Clam Dam unit 1
OSFCD1mat3,YES,NO,8/12/2020,Otis SF - Clam Dam unit 2,"HT, MW, JW",HH,MW,,Otis State Forest,Clam Dam unit 1
OSFCD3unh1,NO,NO,8/12/2020,Otis SF - Clam Dam Unit 3,"HT, MW",HH,MW,,Otis State Forest,Clam Dam unit 3
OSFCD3unh2,NO,NO,8/12/2020,Otis SF - Clam Dam Unit 3,"HT, MW",HH,MW,,Otis State Forest,Clam Dam unit 3
OSFCD3unh3,NO,NO,8/12/2020,Otis SF - Clam Dam Unit 3,"HT, MW",HH,MW,,Otis State Forest,Clam Dam unit 3
OSFCD3unh4,NO,NO,8/12/2020,Otis SF - Clam Dam Unit 3,"HT, MW",HH,MW,,Otis State Forest,Clam Dam unit 3
OMSFCRgap2,YES,YES,8/12/2020,October Mtn SF - County Rd ash salvage,"HT, MW",HH,MW,,October Mountain State Forest,County Rd ash salvage
OMSFCRmat2,YES,NO,8/12/2020,October Mtn SF - County Rd ash salvage,"HT, MW",HH,MW,,October Mountain State Forest,County Rd ash salvage
OMSFCRgap3,YES,YES,8/12/2020,October Mtn SF - County Rd,"HT, MW",HH,MW,,October Mountain State Forest,County Rd ash salvage
OMSFCRmat3,YES,NO,8/12/2020,October Mtn SF - County Rd,"HT, MW",HH,MW,,October Mountain State Forest,County Rd ash salvage
PSFPMHgap1,YES,YES,8/13/2020,Pittsfield State Forest Potter Mtn Rd - Hancock Unit,"HT, MW",HH,MW,,Pittsfield State Forest,Potter Mtn Rd. Hancock Unit
PSFPMHmat1,YES,NO,8/13/2020,Pittsfield State Forest Potter Mtn Rd - Hancock Unit,"HT, MW",HH,MW,,Pittsfield State Forest,Potter Mtn Rd. Hancock Unit
PSFPMHgap2,YES,YES,8/13/2020,Pittsfield State Forest Potter Mtn Rd - Hancock Unit,"HT, MW",HH,MW,,Pittsfield State Forest,Potter Mtn Rd. Hancock Unit
PSFPMHmat2,YES,NO,8/13/2020,Pittsfield State Forest Potter Mtn Rd - Hancock Unit,"HT, MW",HH,MW,,Pittsfield State Forest,Potter Mtn Rd. Hancock Unit
PSFPMHgap3,YES,YES,8/13/2020,"Pittsfield SF - Potter Mtn Rd, Hancock Unit","HT, MW",HH,MW,,Pittsfield State Forest,Potter Mtn Rd. Hancock Unit
PSFPMHmat3,YES,NO,8/13/2020,Pittsfield State Forest Potter Mtn Rd - Hancock Unit,"HT, MW",HH,MW,,Pittsfield State Forest,Potter Mtn Rd. Hancock Unit
BRSPunh1,NO,NO,8/13/2020,Balance Rock State Park,"HT, MW",HH,MW,,Balance Rock State Park,Balance Rock State Park
BRSPunh2,NO,NO,8/13/2020,Balance Rock State Park,"HT, MW",HH,MW,,Balance Rock State Park,Balance Rock State Park
BRSPunh3,NO,NO,8/13/2020,Balance Rock State Park,"HT, MW",HH,MW,,Balance Rock State Park,Balance Rock State Park
BRSPunh4,NO,NO,8/13/2020,Balance Rock State Park,"HT, MW",HH,MW,,Balance Rock State Park,Balance Rock State Park
GMSSmat1,YES,NO,7/6/2020,Green Mtn National Forest,"ED, HT, MW",HH,MW,,Green Mountain National Forest,Sunnyside stand 63-49
GMSSmat2,YES,NO,7/6/2020,Green Mtn National Forest,"ED, HT, MW",HH,MW,,Green Mountain National Forest,Sunnyside stand 63-49
GMSSgap1,YES,YES,7/6/2020,Green Mtn National Forest,"ED, HT, MW",HH,MW,,Green Mountain National Forest,Sunnyside stand 63-49
GMSSgap2,YES,YES,7/6/2020,Green Mtn National Forest,"ED, HT, MW",HH,MW,,Green Mountain National Forest,Sunnyside stand 63-49
GMSSmat3,YES,NO,7/6/2020,Green Mtn National Forest,"ED, HT, MW",HH,MW,,Green Mountain National Forest,Sunnyside stand 63-49
GMSSgap3,YES,YES,7/6/2020,Green Mtn National Forest,"ED, HT, MW",HH,MW,,Green Mountain National Forest,Sunnyside stand 63-49
GMCBmat1,YES,NO,7/6/2020,Green Mtn National Forest,"ED, HT, MW",HH,MW,,Green Mountain National Forest,Cook Brook stand 62-6
GMCBgap1,YES,YES,7/6/2020,Green Mtn National Forest,"ED, HT, MW",HH,MW,,Green Mountain National Forest,Cook Brook stand 62-6
GMCBgap2,YES,YES,7/6/2020,Green Mtn National Forest,"ED, HT, MW",HH,MW,*H. found matric plot SW of Plot one for next time,Green Mountain National Forest,Cook Brook stand 62-6
DHSPmat1,YES,NO,8/17/2020,Dennis Hill SP,"MW, MR",HH,MW,,Dennis Hill State Park,Dennis Hill State Park stand 1
DHSPgap1,YES,YES,8/17/2020,Dennis Hill SP,"MW, MR",HH,MW,,Dennis Hill State Park,Dennis Hill State Park stand 1
DHSPgap2,YES,YES,8/17/2020,Dennis Hill SP,"MW, MR",HH,MW,,Dennis Hill State Park,Dennis Hill State Park stand 1
DHSPgap3,YES,YES,8/17/2020,Dennis Hill SP,"MW, MR",HH,MW,,Dennis Hill State Park,Dennis Hill State Park stand 1
DHSPmat2,YES,NO,8/17/2020,Dennis Hill SP,"MW, MR",HH,MW,,Dennis Hill State Park,Dennis Hill State Park stand 1
DHSPmat3,YES,NO,8/17/2020,Dennis Hill SP,"MW, MR",HH,MW,,Dennis Hill State Park,Dennis Hill State Park stand 1
HMSPunh1,NO,NO,8/17/2020,Haystack Mountain State Park,"MW, MR",HH,MW,,Haystack Mountain State Park,Haystack Mountain State Park
HMSPunh2,NO,NO,8/17/2020,Haystack Mountain State Park,"MW, MR",HH,MW,,Haystack Mountain State Park,Haystack Mountain State Park
HMSPunh3,NO,NO,8/17/2020,Haystack Mountain State Park,"MW, MR",HH,MW,,Haystack Mountain State Park,Haystack Mountain State Park
HMSPunh4,NO,NO,8/17/2020,Haystack Mountain State Park,"MW, MR",HH,MW,,Haystack Mountain State Park,Haystack Mountain State Park
HSF161gap1,YES,YES,8/18/2020,Housatonic State Forest,"MW, MR",HH,MW,,Housatonic State Forest,Housatonic State Forest stand 16-1
HSF161mat1,YES,NO,8/18/2020,Housatonic State Forest,"MW, MR",HH,MW,,Housatonic State Forest,Housatonic State Forest stand 16-1
HSF161gap2,YES,YES,8/18/2020,Housatonic State Forest,"MW, MR",HH,MW,,Housatonic State Forest,Housatonic State Forest stand 16-1
HSF161mat2,YES,NO,8/18/2020,Housatonic State Forest,"MW, MR",HH,MW,,Housatonic State Forest,Housatonic State Forest stand 16-1
HSF161mat3,YES,NO,8/18/2020,Housatonic State Forest,"MW, MR",HH,MW,,Housatonic State Forest,Housatonic State Forest stand 16-1
HSF161gap3,YES,YES,8/18/2020,Housatonic State Forest,"MW, MR",HH,MW,,Housatonic State Forest,Housatonic State Forest stand 16-1
ASF114unh1,NO,NO,8/18/2020,Algonquin State Forest - Stand 1-14,"MW, MR",HH,MW,,Algonquin State Forest,Algonquin State Forest stand 1-14
ASF114unh2,NO,NO,8/18/2020,Algonquin State Forest - Stand 1-14,"MW, MR",HH,MW,,Algonquin State Forest,Algonquin State Forest stand 1-14
ASF114unh3,NO,NO,8/18/2020,Algonquin State Forest - Stand 1-14,"MW, MR",HH,MW,,Algonquin State Forest,Algonquin State Forest stand 1-14
