"","plot_ID","X","harvest_status","live_biomass","cut_biomass","propbiocut","seedling_richness","seedling_shannon","seedling_density","saplings_richness","saplings_shannon","saplings_tally"
"66","GMMTmat2",66,"YES",4919.85417837213,3880.96870229321,0.440977935235962,4,1.07513932400537,4,4,1.33224492243853,13
"67","GMMTmat3",67,"YES",4232.48282776474,7123.97389948164,0.627306040130441,3,0.882310924515076,5,6,1.49571767813014,89
"68","GMRB5unh1",68,"NO",11952.1852318777,0,0,4,0.975939064349937,7,5,0.579534267630891,79
"69","GMRB5unh2",69,"NO",11654.0149859837,0,0,2,0.673011667009257,1.66666666666667,2,0.553858229492429,33
"70","GMRB5unh3",70,"NO",9814.56050186717,0,0,2,0.206192050633232,6.33333333333333,4,0.876666604642331,35
"71","GMRB5unh4",71,"NO",8850.54174565933,0,0,2,0.336495757583516,6.33333333333333,5,1.25135470521524,26
"72","GMRB6unh1",72,"NO",11467.5928988731,155.762874481539,0.0134008523458096,4,1.21488965394912,3,3,0.380506218477596,21
"73","GMRB6unh2",73,"NO",10542.0587010516,0,0,4,1.16851840574309,3.66666666666667,2,0.579915171418101,15
"74","GMRB6unh3",74,"NO",11249.0702696719,0,0,1,0,3,2,0.636514168294813,3
"75","GMRB6unh4",75,"NO",11593.6838127252,0,0,2,0.636514168294813,2,4,0.918294288555913,41
"76","GMSSgap1",76,"YES",2507.54798488926,1514.54392360145,0.376556269239949,7,1.90615474653985,2.66666666666667,4,1.15698764434527,13
"77","GMSSgap2",77,"YES",1002.95730497825,13200.39986314,0.929385898481132,2,0.429323021930616,4.33333333333333,6,1.59095204185096,28
"78","GMSSgap3",78,"YES",653.406288745645,20360.4878925466,0.968905987481019,4,1.03759110809185,5.66666666666667,7,1.55958115625988,16
"79","GMSSmat1",79,"YES",5182.89505078393,3531.03147325553,0.405217035456327,2,0.636514168294813,4,4,0.959223044632474,23
"80","GMSSmat2",80,"YES",6369.20509360617,5785.03302534913,0.475968379813705,3,0.950270539233235,1.66666666666667,5,1.11264450377941,21
"81","GMSSmat3",81,"YES",3704.15839125661,4336.7676957291,0.539336843643941,3,0.566085738959629,4,4,1.2130075659799,8
"82","GSF396gap1",82,"YES",1777.61158196723,5217.80614173173,0.745889144554575,2,0.0604982941023021,30.3333333333333,5,0.442216545200279,114
"83","GSF396gap2",83,"YES",2187.70908866707,3454.01793559938,0.612227057555746,3,0.535496795519882,13.3333333333333,4,0.841610275149079,97
"84","GSF396mat1",84,"YES",8807.05659097973,0,0,3,0.618940743856973,7,8,1.76876268494697,43
"85","GSF396mat2",85,"YES",7973.06640728864,0,0,2,0.36692499127271,8.33333333333333,2,0.655481773901393,22
"86","GSF396mat3",86,"YES",6586.82331242894,122.881783610689,0.0183140364370439,3,0.354598827552649,11.3333333333333,2,0.690593986477592,28
"87","GSF396mat4",87,"YES",7186.51936694148,2436.77265205986,0.253216118480912,3,0.470235962355249,7.66666666666667,2,0.474139313057837,33
"88","GSF396mat5",88,"YES",5795.44516247452,4522.58816596502,0.43831881735635,4,1.20562823248872,6.66666666666667,6,1.27773410925248,41
"89","HMSPunh1",89,"NO",11746.5321831756,0,0,4,1.33217904021012,1.66666666666667,4,0.885574151576672,11
"90","HMSPunh2",90,"NO",5069.93198826847,0,0,4,0.810668768258392,14.6666666666667,8,1.80899095870995,23
"91","HMSPunh3",91,"NO",16320.5944992203,0,0,4,1.35178399428965,2.33333333333333,5,1.52295506753132,9
"92","HMSPunh4",92,"NO",15726.4511448827,0,0,1,0,0.333333333333333,5,1.47913280742964,13
"93","HRgap1",93,"NO",8376.79699645471,0,0,5,1.43474092429267,7,4,1.242453324894,6
"94","HRgap2",94,"NO",5853.1621307291,0,0,4,1.04083983742324,5.33333333333333,2,0.465999256961043,17
"95","HRgap3",95,"NO",7103.05431857348,0,0,2,0.309477286774126,28.6666666666667,2,0.257318640543832,14
"96","HRmat1",96,"NO",11466.6898615333,0,0,4,0.537938860646753,25.3333333333333,2,0.540204142388861,13
"97","HRmat2",97,"NO",14664.3996051157,0,0,2,0.261764482909015,13.6666666666667,2,0.636514168294813,3
"98","HRmat3",98,"NO",6309.00348408961,0,0,5,1.24609212007233,13.3333333333333,NA,0,0
"99","HRunh1",99,"NO",2677.72970191678,0,0,2,0.692346967089961,8.33333333333333,1,0,1
"100","HRunh2",100,"NO",7730.48230433664,0,0,4,0.818180493560338,11.6666666666667,4,1.07201696856319,13
"101","HRunh3",101,"NO",8405.22104858259,0,0,4,1.12327193239642,12.3333333333333,5,1.22886586499224,25
"102","HRunh4",102,"NO",8657.14431696043,0,0,2,0.276190922407075,25.3333333333333,4,1.21488965394912,9
"103","HSF161gap1",103,"YES",2291.98226622979,0,0,NA,0,NA,2,0.392674467227552,15
"104","HSF161gap2",104,"YES",2317.46747343099,4263.24372445927,0.647839359038585,NA,0,NA,3,0.867563228481461,6
"105","HSF161gap3",105,"YES",3194.22139646342,2329.9833713673,0.421777155136531,2,0.465999256961043,5.66666666666667,5,0.903500151490532,61
"106","HSF161mat1",106,"YES",4380.37174110536,4322.43439957118,0.496671341369803,3,0.869922383335115,9.33333333333333,3,1.00365949109182,26
"107","HSF161mat2",107,"YES",6373.58531694897,1327.822808899,0.172412990871432,2,0.348832095843032,3,5,0.978473498248518,45
"108","HSF161mat3",108,"YES",3446.10367541678,6028.63800875231,0.636285210690787,3,0.683738905848754,6,7,1.79810550262427,18
"109","HSP118unh1",109,"NO",9543.4205049763,0,0,1,0,1.66666666666667,6,1.60597097273196,29
"110","HSP118unh2",110,"NO",7931.93387132774,0,0,4,0.528464397418595,18,5,1.37849742178298,18
"111","HSP118unh3",111,"NO",12642.5836496074,0,0,5,0.352675701803698,27.3333333333333,4,1.09352666098184,37
"112","HSP118unh4",112,"NO",8978.79977816501,0,0,2,0.562335144618808,2.66666666666667,6,1.20960921657784,22
"113","JMP1mat1",113,"YES",8538.49023424056,352.72093321115,0.0396707407537867,1,0,3.66666666666667,5,0.945146256475787,76
"114","JMP1mat2",114,"YES",5942.59960804602,615.255649521329,0.0938196445875141,3,1.03619878481928,3.66666666666667,6,1.14236047778005,54
"115","JMP1mat3",115,"YES",8912.38413138857,1016.79927602728,0.10240512581003,5,1.15454544351279,11.6666666666667,7,1.54829468051884,42
"116","JMP1mat4",116,"YES",5209.9897253936,1680.16366455727,0.243849965228313,3,0.287364304680956,15,1,0,1
"117","JMP3unh1",117,"NO",6669.26472465369,0,0,1,0,2,5,1.45204407319368,17
"118","JMP3unh2",118,"NO",7499.71188580289,0,0,3,0.536664562484525,6.33333333333333,5,1.26767702904526,18
"119","JMP3unh3",119,"NO",7207.06217103409,251.31774186883,0.033696023104703,4,1.12467028923762,5.33333333333333,7,1.54659000050362,41
"120","JMP3unh4",120,"NO",5759.97245337571,0,0,2,0.126930545341402,12,3,0.578325286660127,34
"121","JMP7mat1",121,"YES",6699.01248746373,2812.39188086599,0.295686291104441,2,0.0645814363776275,28,3,0.460896619632594,40
"122","JMP7mat2",122,"YES",9074.73172259805,2377.42002814001,0.207595924319357,4,0.532821539462641,17.6666666666667,6,1.30084123110175,28
"123","JMP7mat3",123,"YES",7426.37731283816,5450.33937129689,0.423270893116105,2,0.163023629494366,8.66666666666667,4,0.903564493659214,55
"124","JMP7mat4",124,"YES",6665.22725954315,3813.48654454493,0.363926968122478,2,0.0442600020458068,44.3333333333333,5,0.641551848323577,32
"125","JNPunh1",125,"NO",6497.28881734658,0,0,2,0.693147180559945,0.666666666666667,4,1.32088834314932,8
"126","JNPunh2",126,"NO",8104.14955904592,0,0,2,0.693147180559945,0.666666666666667,5,1.08776129306878,17
"127","JNPunh3",127,"NO",7396.30935142291,0,0,2,0.562335144618808,1.33333333333333,2,0.693147180559945,2
"128","JNPunh4",128,"NO",5568.65559238469,0,0,NA,0,NA,1,0,10
"129","KMSFunh1",129,"NO",11360.392995127,0,0,2,0.257318640543832,4.66666666666667,3,1.06085694715802,9
"130","KMSFunh2",130,"NO",6076.29248890522,0,0,2,0.636514168294813,3,3,1.04656340695786,23
"131","KMSFunh3",131,"NO",8640.82117323201,0,0,3,1.05492016798614,1.66666666666667,2,0.682908104700472,7
"132","KMSFunh4",132,"NO",8155.66573909102,0,0,2,0.636514168294813,1,4,1.07292087629738,22
"133","MP1314gap1",133,"YES",163.564777064853,2784.81872770993,0.944523913934545,1,0,1.33333333333333,6,1.48315076053034,72
"134","MP1314gap2",134,"YES",6465.39916285784,0,0,2,0.0658609359414783,27.3333333333333,7,1.72380527261631,34
"135","MP1314gap3",135,"YES",3056.89900994933,2675.65377638619,0.466747342085371,2,0.679193265991526,8,7,1.42257408596752,54
"136","MP1314mat1",136,"YES",13648.8283303385,0,0,1,0,55.6666666666667,4,0.850851747398039,39
"137","MP1314mat2",137,"YES",6625.55246540057,2002.35030793288,0.232078450642909,1,0,56,6,0.861745118677501,36
"138","MP1314mat3",138,"YES",5660.55813734905,2239.63601157268,0.283491262284783,3,0.163807779386738,41.6666666666667,6,1.45468622547172,65
"139","MP19gap1",139,"YES",4141.12359153531,6475.78370829957,0.609950103680408,3,0.89820533970415,4.66666666666667,4,1.07292087629738,22
"140","MP19gap2",140,"YES",1408.53961214643,7777.48733573336,0.846664981483477,3,1.03881175714559,8.33333333333333,2,0.636514168294813,9
"141","MP19gap3",141,"YES",474.277241932213,6219.96357342504,0.929151451969852,4,1.09346991077824,9.66666666666667,4,1.15236107305649,24
"142","MP19gap4 ",142,"YES",6623.30255849876,5381.34967545121,0.448272017429409,3,0.261160085965529,17,5,0.917303062497825,32
"143","MP19mat1",143,"YES",7163.18707069353,798.079146242071,0.100245253015702,4,0.718310797997583,15.6666666666667,3,0.62770525719715,15
"144","MP19mat2",144,"YES",6173.51663647696,222.798903886823,0.0348323816235856,3,0.790987350435576,6.66666666666667,5,1.31133199967071,23
"145","MP19mat3",145,"YES",3024.27709110054,5429.24987947443,0.642246709376164,1,0,19.3333333333333,6,1.46700227016422,38
"146","MPunh1",146,"NO",13844.2235563922,0,0,3,0.1050682789788,53.3333333333333,2,0.500402423538188,20
"147","MPunh2",147,"NO",13860.5863341918,0,0,3,0.116846245586576,75.6666666666667,3,0.670259702406052,34
"148","MPunh3",148,"NO",11984.9546611422,0,0,3,0.0969860950330633,39.6666666666667,2,0.636514168294813,27
"149","MPunh4",149,"NO",10240.1823738872,0,0,2,0.116906849137531,26.6666666666667,4,1.25226597322374,35
"150","MSF3111unh1",150,"NO",5335.8176220985,0,0,7,0.648588907450022,30,7,1.60206500080731,46
"151","MSF3111unh2",151,"NO",11141.208993621,0,0,1,0,86,5,1.12378318492953,30
"152","MSF3111unh3",152,"NO",3528.94145707499,0,0,2,0.0517811006744465,36.6666666666667,6,1.51568140369059,23
"153","MSF3111unh4",153,"NO",3803.23589897572,0,0,4,0.460444110958231,20.6666666666667,10,1.95731920211856,27
"154","OMSFCRgap1",154,"YES",3189.52187334883,4612.53912202036,0.591194957942276,3,0.683738905848754,3,4,1.25548232517875,8
"155","OMSFCRgap2",155,"YES",2518.05519215936,6275.4371935879,0.713645604988447,2,0.500402423538188,1.66666666666667,3,0.443757284260148,51
"156","OMSFCRgap3",156,"YES",7045.33222534675,2324.56565254889,0.248088686007211,4,0.531303903339541,10,5,1.13808923187643,35
"157","OMSFCRmat1",157,"YES",4121.87805595441,3277.25080678916,0.442923872199459,4,1.33217904021012,1.66666666666667,8,1.82946069499267,20
"158","OMSFCRmat2",158,"YES",10460.7501216575,1762.02832198787,0.14415939306369,2,0.376770161256437,2.66666666666667,7,1.41907959783735,29
"159","OMSFCRmat3",159,"YES",7474.01346024028,2891.27956759467,0.278938526854034,4,1.30194501705595,9.33333333333333,7,1.36309224940266,48
"160","OMSFHRgap1",160,"YES",3453.08943783666,11609.3194613715,0.770747862380884,5,1.3647193751408,5.66666666666667,9,1.91513081830765,44
"161","OMSFHRgap2",161,"YES",0,13755.5191092178,1,3,0.639031859650177,3.33333333333333,4,1.19734013399678,14
"162","OMSFHRgap3",162,"YES",1474.93962333606,9400.16095967627,0.864374622369928,4,1.33217904021012,3.33333333333333,3,0.943348392329039,10
"163","OMSFHRmat1",163,"YES",4014.53318499073,5631.15469831656,0.583800218962275,3,0.278006362273391,15.6666666666667,6,0.919914339828706,46
"164","OMSFHRmat2",164,"YES",8056.1097534641,3979.74409163734,0.330657396048149,3,0.443757284260148,5.66666666666667,3,0.729871209983116,15
"165","OMSFHRmat3",165,"YES",3325.22057764155,2403.71029681373,0.419573974531902,5,1.36868963762284,5.33333333333333,10,1.94745791623358,33
"166","OMSFSCHgap1",166,"YES",309.030526146624,11821.5053298329,0.974524577494712,1,0,3,5,0.940184732264363,51
"167","OMSFSCHgap2",167,"YES",0,11827.4600216727,1,1,0,3.66666666666667,3,0.439431765602673,47
"168","OMSFSCHgap3",168,"YES",0,4597.06335481753,1,2,0.585952618303551,3.66666666666667,4,0.499443517761387,82
"169","OMSFSCHmat1",169,"YES",12923.5367065038,7954.03783930607,0.380984765344901,NA,0,NA,4,1.16159133432945,18
"170","OMSFSCHmat2",170,"YES",6819.56900337591,12342.504620079,0.644111115666075,1,0,0.333333333333333,6,1.46367514329898,22
"171","OMSFSCHmat3",171,"YES",8050.93865247564,5851.91081168686,0.420914491433672,NA,0,NA,3,0.64519645040308,33
"172","OMSFSH14gap1",172,"YES",0,1616.48151726745,1,2,0.257318640543832,4.66666666666667,5,0.522421657165991,58
"173","OMSFSH14gap2",173,"YES",0,676.002360171102,1,2,0.661563238157982,5.33333333333333,3,0.513557286410173,80
"174","OMSFSH14gap3",174,"YES",0,1015.16922684318,1,3,0.683738905848754,3,6,0.593312905051711,75
"175","OMSFSH14mat1",175,"YES",8564.93696405463,5090.93358570296,0.372801833991706,4,0.940447988655326,3.33333333333333,4,0.899951421833444,37
"176","OMSFSH14mat2",176,"YES",9590.50378727316,4068.16192741531,0.297844753828365,3,1.05492016798614,1.66666666666667,4,1.05327621036084,25
"177","OMSFSH14mat3",177,"YES",6769.27888576005,1849.27056667112,0.214568655303064,2,0.636514168294813,1,4,0.624407399168227,38
"178","OMSFSH17gap1",178,"YES",0,12672.3947191183,1,4,1.12095039267358,3.66666666666667,1,0,4
"179","OMSFSH17gap2",179,"YES",3110.7784717828,4197.71872029079,0.574361405631162,2,0.655481773901393,3.66666666666667,2,0.163023629494366,26
"180","OMSFSH17gap3",180,"YES",3418.64862969716,7067.06257684531,0.673970743389907,3,0.796311640173813,2.33333333333333,3,0.82773815699892,18
"181","OMSFSH17mat1",181,"YES",6075.60470316485,676.291342566421,0.100163174608411,5,1.35392719105583,7,5,1.28020404999374,44
"182","OMSFSH17mat2",182,"YES",8360.55587848658,2812.84435067848,0.251744705549555,3,0.655975732336547,4.66666666666667,6,1.30537013676468,36
"183","OMSFSH17mat3",183,"YES",4247.51790267585,6713.48250951031,0.612488117603429,3,1.05492016798614,1.66666666666667,2,0.459693019968502,29
"184","OSFCD1gap1",184,"YES",1850.33873701869,6782.25456844531,0.785656676789405,1,0,0.333333333333333,1,0,1
"185","OSFCD1gap2",185,"YES",6635.09159870805,12258.8934666939,0.648825190887971,3,1.01140426470735,2,1,0,9
"186","OSFCD1gap3",186,"YES",2687.81320476994,6916.90342238495,0.720156949017025,3,0.881532261188164,5.33333333333333,3,0.950270539233235,5
"187","OSFCD1mat1",187,"YES",8246.95676505348,13319.3834766422,0.617600544523123,3,1.09861228866811,1,3,0.387314713287818,41
"188","OSFCD1mat2",188,"YES",10047.3073007986,600.293899563775,0.0563783229919754,6,1.66094743328692,4,3,0.974314752869349,8
"189","OSFCD1mat3",189,"YES",5478.15039660059,4806.24451042447,0.467333718111255,1,0,0.333333333333333,2,0.450561208866305,6
"190","OSFCD3unh1",190,"NO",9161.52295751531,0,0,1,0,1,2,0.271189373041844,13
"191","OSFCD3unh2",191,"NO",10611.9002649327,0,0,2,0.376770161256437,2.66666666666667,3,1.03972077083992,8
"192","OSFCD3unh3",192,"NO",15815.238104808,0,0,1,0,0.333333333333333,3,0.796311640173813,14
"193","OSFCD3unh4",193,"NO",10236.4837950429,0,0,2,0.636514168294813,1,4,1.183138762368,24
"194","PSFPMHgap1",194,"YES",7511.92139270191,4396.03378957257,0.369167814480546,4,0.885288834440902,5.66666666666667,7,1.05593143871568,58
"195","PSFPMHgap2",195,"YES",5188.11479342916,9606.08339895393,0.649314229405126,3,1.02505761375874,8.33333333333333,2,0.401189862187006,29
"196","PSFPMHgap3",196,"YES",4661.29910231508,2925.9344471108,0.385639169804152,7,1.78646695230527,9.66666666666667,1,0,3
"197","PSFPMHmat1",197,"YES",6246.23305725357,2492.39593635895,0.285215900363863,4,1.00638566982026,7,5,1.44798711409612,19
"198","PSFPMHmat2",198,"YES",7390.75461965525,3418.25764236478,0.316241443667856,1,0,2.33333333333333,4,1.05327621036084,25
"199","PSFPMHmat3",199,"YES",7627.00906777519,4203.6212400241,0.355316760870541,3,0.952559443391055,9,4,0.840196620877545,40
"200","SSF1gap1",200,"YES",0,2918.92387384895,1,1,0,1,2,0.063961714103983,85
"201","SSF1gap2",201,"YES",0,4646.45287111308,1,1,0,0.333333333333333,3,0.253547675202552,53
"202","SSF1gap3",202,"YES",0,5186.04624689537,1,2,0.693147180559945,0.666666666666667,5,1.31100333231461,41
"203","SSF1mat1",203,"NO",17116.045595557,0,0,1,0,0.666666666666667,3,1.03972077083992,8
"204","SSF1mat2",204,"NO",7939.91687421062,0,0,1,0,0.333333333333333,5,1.38629436111989,8
"205","SSF1mat3",205,"NO",8882.63493387113,0,0,1,0,1,5,1.50478828368119,10
"206","SSF1mat4",206,"NO",8301.08938423614,0,0,1,0,0.333333333333333,2,0.636514168294813,6
"207","SSFYL2gap1",207,"YES",5673.68634197995,1774.21327487995,0.238216593422344,1,0,2.66666666666667,4,0.788280599630935,35
"208","SSFYL2gap2",208,"YES",7499.81795846177,13028.5374884188,0.63466055632813,4,1.32088834314932,2.66666666666667,8,1.40500974647931,57
"209","SSFYL2gap3",209,"YES",4503.89112016301,5614.77417863558,0.554892766272468,1,0,2.66666666666667,11,1.62150147339896,56
"210","SSFYL2mat1",210,"YES",7400.40378513308,6043.01247039261,0.449514643862101,2,0.562335144618808,1.33333333333333,5,1.46502126357012,26
"211","SSFYL2mat2",211,"YES",15064.1514358731,451.961814278901,0.0291285457248434,3,0.867563228481461,4,4,1.242453324894,6
"212","SSFYL2mat3",212,"YES",7563.49800216643,5301.51862126984,0.412087972868378,3,1.03972077083992,1.33333333333333,6,1.44459183403874,33
"213","SWunh1",213,"NO",8370.99400862375,0,0,2,0.098039113279732,16.6666666666667,5,1.17865499634165,13
"214","SWunh2",214,"NO",9290.21821210591,0,0,2,0.0950301172556463,17.3333333333333,NA,0,0
"215","SWunh3",215,"NO",8592.67339914284,788.882231227825,0.0840886375681659,1,0,24.6666666666667,2,0.693147180559945,2
"216","SWunh4",216,"NO",3953.86081819952,0,0,2,0.376770161256437,2.66666666666667,2,0.271189373041844,13
"217","TNCLPgap1",217,"YES",2456.15298267789,5840.92778651343,0.70397383718403,3,0.654669564528501,6,3,0.848685557726417,9
"218","TNCLPgap2",218,"YES",5923.71802652305,4801.83905337437,0.447700666511235,3,0.354598827552649,11.3333333333333,5,1.12753478981913,14
"219","TNCLPgap3",219,"YES",6909.24632261125,2115.17746928344,0.23438365906344,3,0.50730356889055,12.6666666666667,4,1.03176711135054,13
"220","TNCLPmat1",220,"YES",10323.5214252185,1359.92196433703,0.116397359835948,1,0,28.6666666666667,3,0.682869018673461,30
"221","TNCLPmat2",221,"YES",6987.88296371262,2799.9087342078,0.286061332384371,2,0.05943229865313,31,2,0.450561208866305,18
