plot_ID,ABBA,ACER,ACPE,ACRU,ACSA,BEAL,BELE,BENI,BEPA,BEPO,BESP,CACA,CACO,CAOV,FAGR,FRAM,FRNI,HAVI,OSVI,PIRU,PISP,PIST,PODE,POGR,POTR,PRPE,PRSE,QURU,ROPS,THOC,TIAM,TSCA,ULAM,ULRU,ULSP,UNK
DHSPmat2,0,0,0.008824734,0.280861525,0.192337727,0,0,0,0,0,0,0,0,0,0.015174678,0.339720834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHSPmat3,0,0,0,0,0.22413143,0,0,0,0,0,0,0,0,0,0,0.395919214,0,0,0,0,0,0,0,0,0,0,0.598335956,0,0,0,0,0,0,0,0,0
GMAgap1,0,0,0,0,0.012271846,0,0,0,0,0,0,0,0,0,0,0.616534417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMAgap2,0,0,0,0,0.222506441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMAmat1,0,0,0,0,0.795866736,0.082447958,0,0,0,0,0,0,0,0,0,0.216000988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMAmat2,0,0,0,0,0.01960668,0.486948432,0,0,0,0,0,0,0,0,0,0.363203454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMCBgap1,0,0,0,0,0.6072408,0,0,0,0,0,0,0,0,0,0.014741138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMCBgap2,0,0,0,0,0.467054297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMCBgap3,0,0,0,0,0.143083052,0.166363824,0,0,0,0,0,0,0,0,0.054967661,0.147525264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063793966,0,0,0,0
GMCBmat1,0,0,0,0,0.261212434,0,0,0,0,0,0,0,0,0,0.019883925,0.429008039,0,0,0,0.067425647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMCBmat2,0,0,0,0,0.282704854,0.024328494,0,0,0,0,0,0,0,0,0.189687008,0.264097201,0,0,0,0.013684778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMCBmat3,0,0,0.010751315,0,0.341018312,0,0,0,0,0,0,0,0,0,0.070149408,0.448181964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMMTgap1,0,0,0,0,0.268262167,0,0,0,0,0,0,0,0,0,0.031102553,0.079922903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMMTgap2,0,0,0,0,0.129475243,0.034966712,0,0,0,0,0,0,0,0,0.096761839,0.340621686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMMTgap3,0,0,0,0,0.249173851,0,0,0,0,0,0,0,0,0,0.217300822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMMTmat1,0,0,0,0,0.299233559,0.102602845,0,0,0,0,0,0,0,0,0,0.239503243,0,0,0,0,0,0,0,0,0,0,0.034347818,0,0,0,0,0,0,0,0,0
GMMTmat2,0,0,0,0,0,0.518083971,0,0,0,0,0,0,0,0,0.050272551,0.171066003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMMTmat3,0,0,0,0,0.232927104,0.070215381,0,0,0,0,0,0,0,0,0,0.195678025,0,0,0,0,0,0,0,0,0,0,0.15274502,0,0,0,0,0,0,0,0,0
GMRB5unh1,0,0,0,0,0.749130047,0,0,0,0,0,0,0,0,0,0,0.984634828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMRB5unh2,0.39580219,0,0,0,0.639204935,0.280371436,0,0,0,0,0,0,0,0,0.01918335,0.355736673,0,0,0,0,0,0,0,0,0,0,0.095662282,0,0,0,0,0,0,0,0,0
GMRB5unh3,0.053031655,0,0,0,0.688669311,0.215056154,0,0,0,0,0,0,0,0,0.155710684,0.237472989,0,0,0,0,0,0,0,0,0,0,0.111627856,0,0,0,0,0,0,0,0,0
GMRB5unh4,0.060353136,0,0.012076282,0,0.901370842,0.046945604,0,0,0,0,0,0,0,0,0.038825373,0.223681397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMRB6unh1,0,0,0,0.027759113,0.17261795,0.65268708,0,0,0.183881345,0,0,0,0,0,0.25607593,0.257535985,0,0,0,0,0,0,0,0,0,0,0.283327675,0,0,0,0,0,0,0,0,0
GMRB6unh2,0,0,0,0.245910521,0.34856913,0.210992504,0,0,0,0,0,0,0,0,0.027369555,0.934587686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMRB6unh3,0,0,0,0,0.320099232,0.021124069,0,0,0,0,0,0,0,0,0,1.448721105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMRB6unh4,0,0,0,0,0.373469393,0.220665468,0,0,0,0,0,0,0,0,0.082018345,1.191442731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMSSgap1,0,0,0,0,0.296360572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMSSgap2,0,0,0,0,0,0.136572101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMSSgap3,0,0,0,0,0.069074983,0.010935884,0,0,0,0,0,0,0,0,0,0.033653526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMSSmat1,0,0,0,0,0.278973428,0.217000015,0,0,0.087695988,0,0,0,0,0,0,0.228749571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMSSmat2,0,0,0,0,0.581092539,0.06559724,0,0,0,0,0,0,0,0,0.087092017,0.075967637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMSSmat3,0,0,0,0,0.278462133,0,0,0,0,0,0,0,0,0,0,0.277079833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSF396gap1,0,0,0,0,0.217166519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSF396gap2,0,0,0,0,0.287349699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSF396mat1,0,0,0,0.114608442,0.491907436,0,0,0,0,0,0,0,0,0,0,0.759797325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSF396mat2,0,0,0,0,0.638381837,0,0,0,0,0,0,0,0,0,0.10755321,0.153438527,0,0,0,0,0,0,0,0,0,0,0.132025431,0,0,0,0,0,0,0,0,0
GSF396mat3,0,0,0,0,0.581773479,0,0,0,0,0,0,0,0,0,0.104088033,0.202682992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSF396mat4,0,0,0,0,0.672465761,0,0,0,0,0,0,0,0,0,0,0.245422003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSF396mat5,0,0,0,0,0.392395918,0,0,0,0,0,0,0,0,0,0,0.391118861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSPunh1,0,0,0,0.294568294,0.153971027,0,0,0,0,0,0,0,0,0,0.019006636,0.905591571,0,0,0,0,0,0,0,0,0,0,0,0.320755039,0,0,0,0,0,0,0,0
HMSPunh2,0,0,0,0.231731728,0,0,0,0,0,0.126500941,0,0,0,0,0,0.355050235,0,0,0,0,0,0,0,0,0,0,0.109858354,0,0,0,0,0,0,0,0,0
HMSPunh3,0,0,0,0.018869191,0.700656843,0,0,0,0,0,0,0,0,0,0,1.524791629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSPunh4,0,0,0,0.139866847,0.279497288,0,0,0,0,0,0,0,0,0,0.095114859,0.420908228,0,0,0,0,0,0.175716346,0,0,0,0,0,0.786599037,0,0,0,0,0,0,0,0
HRgap1,0,0,0,0.095114859,0.553415893,0.093482016,0,0,0.116170599,0,0,0,0,0,0,0.472419351,0,0,0,0.011882289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRgap2,0,0,0,0,0,0.135984623,0,0,0,0,0,0,0,0,0.296091966,0.364187558,0,0,0.067530105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044862728,0,0,0
HRgap3,0,0,0.013076879,0,0.465570679,0.311724531,0,0,0.079922903,0,0,0,0,0,0.011309734,0,0,0,0.021690341,0.038570118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRmat1,0,0,0,0,0.759303309,0.113411495,0,0,0.110446617,0,0,0,0,0,0.039760782,0,0,0,0.436192076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRmat2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRmat3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRunh1,0,0,0.156053903,0,0.076944673,0.045996058,0,0,0.023506182,0,0,0,0,0,0,0.082552416,0,0,0,0.110422269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRunh2,0,0,0,0,0.390611493,0.241350499,0,0,0.187674818,0,0,0,0,0,0.166722751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
