plot_ID,azimuth,species,diam_cm,decay_class,
MP19gap3,120,UNK,9.4,2,
MP19gap3,240,UNK,28.5,4,
MP19gap3,240,UNK,9.5,3,
MP19mat3,240,ACSP,12.2,1,
MP19mat3,240,ACSP,16.7,1,
MP19mat3,240,ACSP,16.5,2,
MP19mat3,240,ACSP,7.3,2,
MP19mat3,240,ACSP,14,2,
MP19mat3,240,ACSP,20.7,1,
MP19mat3,240,ACSP,4.2,1,
MP19mat3,240,ACSP,7.3,1,
MP19mat3,0,ACSA,30.6,3,
MP19mat3,0,ACSA,6.7,2,
MP19mat3,0,ACSA,11.2,2,
MP19mat3,120,BEAL,3.6,1,
MP19mat3,120,ACSA,4.1,2,
MP19mat3,120,UNK,19.9,4,
MP1314gap1,0,UNK,33,3,
MP1314gap1,0,UNK,17.4,4,
MP1314gap1,0,UNK,6.3,4,
MP1314gap1,0,UNK,12.3,5,
MP1314gap1,120,UNK,14,4,
MP1314gap1,120,UNK,8.3,4,
MP1314gap1,120,UNK,12.9,4,
MP1314gap1,120,UNK,7.9,3,
MP1314gap1,120,UNK,16.2,4,
MP1314gap1,120,UNK,7.9,4,
MP1314gap1,120,UNK,20.2,4,
MP1314gap1,240,UNK,7.9,5,
MP1314gap1,240,UNK,14,4,
MP1314gap1,240,UNK,21.2,4,
MP1314mat1,240,UNK,29.5,1,
MP1314mat1,0,UNK,22.2,4,
MP1314mat1,0,UNK,5.4,3,
MP1314mat1,0,UNK,11.2,4,
MP1314mat1,120,FRAM,16.6,2,
MP1314mat1,120,FRAM,20.3,2,
MP1314mat1,240,UNK,7.2,4,
MP1314gap2,240,FRAM,19.7,2,
MP1314gap2,240,UNK,6.7,2,
MP1314gap2,240,BEAL,26.8,3,
MP1314gap2,0,UNK,14.9,4,
MP1314gap2,0,UNK,7.5,4,
MP1314gap2,0,UNK,9.8,4,
MP1314gap2,0,UNK,15.9,3,
MP1314gap2,120,UNK,16.9,5,
MP1314gap2,120,UNK,5.5,3,
MP1314gap3,0,UNK,10.8,3,
MP1314gap3,0,UNK,18.6,3,
MP1314gap3,0,UNK,14.5,3,
MP1314gap3,120,UNK,34.6,2,
MP1314gap3,120,UNK,7.7,5,
MP1314gap3,120,UNK,11.5,5,
MP1314gap3,240,UNK,10.2,4,
MP1314gap3,240,UNK,6.6,4,
MP1314gap3,240,UNK,11.6,3,
MP1314gap3,240,UNK,10,3,
CH138mat2,0,ACSA,24,4,
CH138mat2,120,UNK,37.8,3,
CH138mat2,240,TIAM,10.7,2,
CH138mat2,240,ACSA,9.7,2,
CH138mat2,240,UNK,7.9,2,
CH138mat2,240,UNK,8.3,2,
CH138mat2,240,UNK,11.9,3,
CH138mat2,240,TIAM,13.7,2,
CH138mat2,240,TIAM,17.3,3,
