"","plot_ID","harvest_status","live_biomass","cut_biomass","propbiocut","seedling_richness","seedling_shannon","seedling_density"
"59","GMCBmat1","YES",4751.53392794347,1512.16646072604,0.241417431692841,2,0.486912709464602,7
"60","GMCBmat2","YES",5171.98467889018,3287.05782603074,0.38858509389432,4,1.07560416410853,9.66666666666667
"61","GMCBmat3","YES",5820.4768003249,1005.09778229162,0.147254677262104,5,1.37213610805361,8
"62","GMMTgap1","YES",2671.86209282298,6630.07474961428,0.712762821541271,7,1.27558253022012,14.3333333333333
"63","GMMTgap2","YES",4353.48682628158,746.239809560761,0.146329374660197,3,0.89794572485678,3.33333333333333
"64","GMMTgap3","YES",4166.99574284446,6683.30608186175,0.615955776146597,1,0,0.333333333333333
"65","GMMTmat1","YES",3856.12053468485,3400.95850493385,0.468640135565141,2,0.500402423538188,1.66666666666667
"66","GMMTmat2","YES",4919.85417837213,3880.96870229321,0.440977935235962,4,1.07513932400537,4
"67","GMMTmat3","YES",4232.48282776474,7123.97389948164,0.627306040130441,3,0.882310924515076,5
"68","GMRB5unh1","NO",11952.1852318777,0,0,4,0.975939064349937,7
"69","GMRB5unh2","NO",11654.0149859837,0,0,2,0.673011667009257,1.66666666666667
"70","GMRB5unh3","NO",9814.56050186717,0,0,2,0.206192050633232,6.33333333333333
"71","GMRB5unh4","NO",8850.54174565933,0,0,2,0.336495757583516,6.33333333333333
"72","GMRB6unh1","NO",11467.5928988731,155.762874481539,0.0134008523458096,4,1.21488965394912,3
"73","GMRB6unh2","NO",10542.0587010516,0,0,4,1.16851840574309,3.66666666666667
"74","GMRB6unh3","NO",11249.0702696719,0,0,1,0,3
"75","GMRB6unh4","NO",11593.6838127252,0,0,2,0.636514168294813,2
"76","GMSSgap1","YES",2507.54798488926,1514.54392360145,0.376556269239949,7,1.90615474653985,2.66666666666667
"77","GMSSgap2","YES",1002.95730497825,13200.39986314,0.929385898481132,2,0.429323021930616,4.33333333333333
"78","GMSSgap3","YES",653.406288745645,20360.4878925466,0.968905987481019,4,1.03759110809185,5.66666666666667
"79","GMSSmat1","YES",5182.89505078393,3531.03147325553,0.405217035456327,2,0.636514168294813,4
"80","GMSSmat2","YES",6369.20509360617,5785.03302534913,0.475968379813705,3,0.950270539233235,1.66666666666667
"81","GMSSmat3","YES",3704.15839125661,4336.7676957291,0.539336843643941,3,0.566085738959629,4
"82","GSF396gap1","YES",1777.61158196723,5217.80614173173,0.745889144554575,2,0.0604982941023021,30.3333333333333
"83","GSF396gap2","YES",2187.70908866707,3454.01793559938,0.612227057555746,3,0.535496795519882,13.3333333333333
