"","plot_ID","tree_ID","species","DBH_cm","status","height_m","decay_class","to.be.cut","notes.x","harvest_status","gap_status","date","site_name","measured_by","tallied_by","entered_by","notes.y","Property","Stand_name","ASH_stump_DBH","BA_sqm","diam_in","height_ft","stump_DBH_in","stump_DBH_cm"
"47","ASF114unh3",17,"QURU",65.8,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.340049130417213,25.9055258,NA,0,0
"48","ASF114unh3",18,"FRAM",39.5,"snag",10.7,3,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.122541748444087,15.5511895,35.104988,0,0
"49","ASF114unh4",1,"ACRU",43.6,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.149301049269201,17.1653636,NA,0,0
"50","ASF114unh4",2,"FRAM",66,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.342119439975928,25.984266,NA,0,0
"51","ASF114unh4",3,"FAGR",14.8,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0172033613710577,5.8267748,NA,0,0
"52","ASF114unh4",4,"ACRU",38.2,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.114608441595609,15.0393782,NA,0,0
"53","ASF114unh4",5,"FAGR",37.2,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.108686539443592,14.6456772,NA,0,0
"54","ASF114unh4",6,"FAGR",31.3,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0769446726698846,12.3228413,NA,0,0
"55","ASF114unh4",7,"FAGR",16.2,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0206119894002026,6.3779562,NA,0,0
"56","ASF114unh4",8,"FAGR",32.8,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0844962760109511,12.9133928,NA,0,0
"57","ASF114unh4",9,"FRAM",56.2,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.248063297520104,22.1259962,NA,0,0
"58","ASF114unh4",10,"ACSA",11.5,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0103868907109313,4.5275615,NA,0,0
"59","ASF114unh4",11,"FAGR",32.5,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0829576810088555,12.7952825,NA,0,0
"60","ASF114unh4",12,"FAGR",15.1,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0179078635236252,5.9448851,NA,0,0
"61","ASF114unh4",13,"ACRU",32.4,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0824479576008105,12.7559124,NA,0,0
"62","ASF114unh4",14,"ACRU",34.7,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0945690074565234,13.6614247,NA,0,0
"63","ASF114unh4",15,"ACSA",51.9,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.2115556346909,20.4330819,NA,0,0
"64","BRSPunh1",1,"BENI",34.6,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0940247265292889,13.6220546,NA,0,0
"65","BRSPunh1",2,"PRSE",63,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.311724531052447,24.803163,NA,0,0
"66","BRSPunh1",3,"OSVI",12,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0113097335529233,4.724412,NA,0,0
"67","BRSPunh1",4,"PRSE",22.5,"snag",4.8,2,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0397607820219958,8.8582725,15.748032,0,0
"68","BRSPunh1",5,"FRAM",73.4,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.423137972919356,28.8976534,NA,0,0
"69","BRSPunh1",6,"ACSA",20.4,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0326851299679482,8.0315004,NA,0,0
"70","BRSPunh1",7,"PRSE",68.3,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.366379603845112,26.8897783,NA,0,0
"71","BRSPunh1",8,"ACRU",14.4,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0162860163162095,5.6692944,NA,0,0
"72","BRSPunh1",9,"FRAM",30.1,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0711578590019722,11.8504001,NA,0,0
