"","plot_ID","Stand_name","State","Ownership_cat","Treatment","EAB_present","forest_type","species","small_saplings_tally","large_saplings_tally","all_saplings_tally"
"89","CH138mat4","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","ACRU",0,0,0
"90","CH138mat4","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","BEAL",4,0,4
"91","CH145unh1","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","all",4,12,16
"92","CH145unh1","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","ACSA",0,6,6
"93","CH145unh1","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
"94","CH145unh1","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","FAGR",0,4,4
"95","CH145unh1","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","ACRU",0,1,1
"96","CH145unh1","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","BEAL",0,0,0
"97","CH145unh2","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","all",5,7,12
"98","CH145unh2","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","ACSA",0,2,2
"99","CH145unh2","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
"100","CH145unh2","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","FAGR",3,1,4
"101","CH145unh2","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","ACRU",0,0,0
"102","CH145unh2","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","BEAL",0,1,1
"103","CH145unh3","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","all",3,9,12
"104","CH145unh3","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","ACSA",0,1,1
"105","CH145unh3","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
"106","CH145unh3","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","FAGR",3,8,11
"107","CH145unh3","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","ACRU",0,0,0
"108","CH145unh3","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","BEAL",0,0,0
"109","CH145unh4","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","all",4,4,8
"110","CH145unh4","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","ACSA",1,2,3
"111","CH145unh4","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
"112","CH145unh4","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","FAGR",2,1,3
"113","CH145unh4","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","ACRU",0,0,0
"114","CH145unh4","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH","BEAL",0,0,0
"115","CH2214unh1","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","all",4,8,12
"116","CH2214unh1","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","ACSA",0,2,2
"117","CH2214unh1","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
