"species","age","mapcode"
"acerrubr","88","435"
"querrubr","104","435"
"tsugcana","114","435"
"abiebals","58","436"
"acerrubr","103","436"
"fagugran","52","436"
"tsugcana","81","436"
"acerrubr","63","437"
"betualle","81","437"
"fagugran","73","437"
"picerube","65","437"
"acerrubr","76","438"
"betualle","84","438"
"fraxamer","70","438"
"tsugcana","96","438"
"fagugran","66","439"
"querrubr","82","439"
"tsugcana","67","439"
"acerrubr","47","440"
"pinustro","84","440"
"acerrubr","89","441"
"betupapy","49","441"
"fagugran","73","441"
"fraxamer","83","441"
"acerrubr","61","442"
"acersacc","72","442"
"fraxamer","48","442"
"acerrubr","92","443"
"pinustro","85","443"
"tsugcana","107","443"
"acerrubr","85","444"
"tsugcana","59","444"
"acersacc","96","445"
"fraxamer","84","445"
"acersacc","91","446"
"fraxamer","48","446"
"prunsero","48","446"
"fraxamer","56","447"
"fraxnigr","87","447"
"pinustro","44","447"
"pinustro","70","448"
"poputrem","57","448"
"acerrubr","73","449"
"prunsero","71","449"
"tsugcana","83","449"
"acerrubr","78","450"
"querrubr","93","450"
"betualle","118","451"
"pinustro","126","451"
"tsugcana","143","451"
"acersacc","70","452"
"fraxamer","92","452"
"pinustro","101","452"
"prunsero","88","452"
"acerrubr","98","453"
"fraxamer","77","453"
"querrubr","66","453"
"tsugcana","88","453"
"acerrubr","65","454"
"acersacc","95","454"
"fagugran","88","454"
"fraxamer","58","455"
"prunsero","55","455"
"betualle","115","456"
"fagugran","103","456"
"acerrubr","81","457"
"acersacc","94","457"
"prunsero","92","457"
"acerrubr","65","458"
"fraxamer","61","458"
"acerrubr","65","459"
"acersacc","57","459"
"tsugcana","78","459"
"fraxamer","15","460"
"acerrubr","80","461"
"fraxamer","81","461"
"pinustro","64","461"
"querrubr","82","462"
"acerrubr","49","463"
"betualle","49","463"
"fraxamer","71","463"
"pinustro","66","463"
"poputrem","76","463"
"acersacc","137","464"
"fagugran","105","464"
"querrubr","118","464"
"acerrubr","65","465"
"prunsero","68","465"
"acerrubr","76","466"
"querrubr","102","466"
"acersacc","103","467"
"betupapy","91","467"
"fagugran","96","467"
"acerrubr","69","468"
"prunsero","68","468"
"acersacc","81","469"
"fagugran","56","469"
"prunsero","70","469"
"querrubr","84","471"
"acerrubr","60","472"
"betupapy","45","472"
"fagugran","41","472"
"prunsero","61","472"
"acerrubr","75","473"
"fagugran","70","473"
"tsugcana","80","473"
"acerrubr","39","474"
"acerrubr","80","475"
"acersacc","63","475"
"betulent","56","475"
"betulent","76","476"
"pinustro","55","476"
"querrubr","77","476"
"tsugcana","73","476"
"prunsero","109","477"
"tsugcana","121","477"
"acerrubr","90","478"
"tsugcana","103","478"
"fraxamer","77","479"
"pinustro","75","479"
"prunsero","84","479"
"acerrubr","54","480"
"querrubr","106","480"
"tsugcana","100","480"
"acerrubr","79","481"
"betupapy","59","481"
"prunsero","59","481"
"acerrubr","82","482"
"tsugcana","122","482"
"acerrubr","85","483"
"tsugcana","95","483"
"tsugcana","121","484"
"acerrubr","65","485"
"acersacc","71","485"
"picerube","89","485"
"tsugcana","89","485"
"acersacc","56","486"
"fagugran","75","486"
"prunsero","65","486"
"acerrubr","61","487"
"acersacc","87","487"
"fagugran","60","487"
"tsugcana","50","487"
"acerrubr","57","488"
"acersacc","50","488"
"acerrubr","57","489"
"acersacc","45","489"
"fagugran","66","489"
"querrubr","90","489"
"acerrubr","79","490"
"acersacc","60","490"
"pinustro","54","490"
"prunsero","52","490"
"acersacc","78","491"
"querrubr","83","491"
"acersacc","90","492"
"fraxamer","95","492"
"betualle","19","493"
"picerube","26","493"
"pinustro","40","493"
"prunsero","93","494"
"tsugcana","103","494"
"pinustro","97","495"
"querrubr","87","495"
"acerrubr","103","496"
"querrubr","111","496"
"acerrubr","86","497"
"prunsero","62","497"
"abiebals","73","1047"
"fraxnigr","71","1047"
"thujocci","85","1047"
"acerrubr","54","1048"
"acersacc","54","1048"
"fraxamer","43","1048"
"thujocci","61","1048"
"abiebals","24","1049"
"acerrubr","17","1049"
"betupapy","23","1049"
"picerube","31","1049"
"fraxamer","86","1050"
"pinustro","104","1050"
"abiebals","58","1051"
"picerube","52","1051"
"poputrem","54","1051"
"thujocci","75","1051"
"abiebals","62","1053"
"acerrubr","71","1053"
"acersacc","86","1054"
"betualle","84","1054"
"abiebals","87","1055"
"fraxamer","62","1055"
"picerube","87","1055"
"prunsero","69","1055"
"abiebals","88","1056"
"acerrubr","61","1056"
"acersacc","68","1056"
"fraxamer","61","1056"
"poputrem","62","1056"
"acerrubr","60","1057"
"tsugcana","54","1057"
"abiebals","98","1058"
"abiebals","60","1059"
"acerrubr","63","1059"
"betualle","52","1059"
"fraxamer","52","1059"
"prunsero","57","1059"
"acerrubr","34","1060"
"betualle","25","1060"
"acersacc","83","1061"
"betualle","81","1061"
"fagugran","62","1061"
"acersacc","83","1062"
"abiebals","66","1063"
"fraxamer","44","1063"
"thujocci","51","1063"
"abiebals","25","1064"
"acersacc","15","1064"
"betualle","27","1064"
"thujocci","26","1064"
"acersacc","75","1065"
"betualle","58","1065"
"fagugran","65","1065"
"acersacc","81","1066"
"betualle","70","1066"
"fagugran","47","1066"
"acersacc","69","1067"
"fagugran","67","1067"
"acersacc","90","1068"
"fagugran","82","1068"
"abiebals","44","1069"
"acersacc","60","1069"
"fraxamer","31","1069"
"prunsero","34","1069"
"abiebals","48","1070"
"acerrubr","54","1071"
"acersacc","77","1071"
"picerube","93","1071"
"acerrubr","59","1072"
"pinustro","57","1072"
"thujocci","56","1072"
"acersacc","27","1074"
"betupapy","22","1074"
"fagugran","22","1074"
"abiebals","58","1075"
"acerrubr","51","1075"
"picerube","52","1075"
"tsugcana","58","1075"
"abiebals","19","1076"
"acersacc","67","1076"
"picerube","13","1076"
"abiebals","71","1077"
"acerrubr","61","1077"
"picerube","48","1077"
"thujocci","65","1077"
"pinustro","79","1078"
"pinustro","66","1079"
"abiebals","72","1080"
"prunsero","73","1080"
"abiebals","7","1081"
"acersacc","2","1081"
"betualle","2","1081"
"abiebals","42","1082"
"poputrem","29","1082"
"abiebals","14","1083"
"acersacc","22","1083"
"fagugran","19","1083"
"fraxamer","10","1083"
"abiebals","55","1084"
"picerube","73","1084"
"thujocci","82","1084"
"abiebals","19","1085"
"acersacc","36","1085"
"betualle","35","1085"
"abiebals","19","1086"
"thujocci","27","1086"
"acersacc","83","1087"
"fraxamer","70","1087"
"tsugcana","80","1087"
"thujocci","59","1088"
