"","stand","num_plots","num_ash_plots","prop_ash"
"2086",10056807,79,13,0.164556962025316
"2088",10056852,99,22,0.222222222222222
"2089",10057379,271,50,0.18450184501845
"2092",10057438,65,15,0.230769230769231
"2118",10056104,222,59,0.265765765765766
"2130",10056224,1265,508,0.401581027667984
"2131",10056121,151,41,0.271523178807947
"2138",10184340,58,10,0.172413793103448
"2146",10037108,65,21,0.323076923076923
"2149",30056876,79,34,0.430379746835443
"2152",10058072,183,31,0.169398907103825
"2171",30057018,332,55,0.16566265060241
"2173",50057440,180,45,0.25
"2198",10034172,75,15,0.2
"2201",10034129,70,26,0.371428571428571
"2204",10056918,50,9,0.18
"2225",10053910,200,45,0.225
"2232",10307156,206,36,0.174757281553398
"2234",10307037,89,19,0.213483146067416
"2240",60183304,56,17,0.303571428571429
"2248",10056043,99,34,0.343434343434343
"2249",10056227,99,36,0.363636363636364
"2250",10053945,357,102,0.285714285714286
"2251",10057388,280,89,0.317857142857143
"2256",10307008,163,26,0.159509202453988
"2259",10307050,116,19,0.163793103448276
"2272",10081800,359,83,0.231197771587744
"2278",10037197,112,31,0.276785714285714
"2303",10056027,94,35,0.372340425531915
"2304",10053872,67,34,0.507462686567164
"2305",10056366,167,87,0.520958083832335
"2315",60083180,71,12,0.169014084507042
"2337",30057440,120,29,0.241666666666667
"2356",10056190,1991,705,0.354093420391763
"2382",10056277,278,71,0.255395683453237
"2389",10307091,64,18,0.28125
"2395",10083241,80,12,0.15
"2396",10082614,186,35,0.188172043010753
"2397",10082958,66,12,0.181818181818182
"2406",10034968,86,27,0.313953488372093
"2409",10057065,104,35,0.336538461538462
"2419",10083126,66,21,0.318181818181818
"2420",10082746,78,12,0.153846153846154
"2425",10033827,97,18,0.185567010309278
"2427",10033745,326,78,0.239263803680982
"2430",10137407,204,47,0.230392156862745
"2432",10057498,342,66,0.192982456140351
"2442",10308042,67,26,0.388059701492537
"2457",10056152,79,47,0.594936708860759
"2458",10056011,97,26,0.268041237113402
"2461",30056880,157,99,0.630573248407643
"2462",10056879,356,201,0.564606741573034
"2466",10307855,144,31,0.215277777777778
"2467",10308119,73,13,0.178082191780822
"2504",10082066,105,18,0.171428571428571
"2505",10081997,66,18,0.272727272727273
"2519",10034757,52,20,0.384615384615385
"2520",10053932,112,40,0.357142857142857
"2521",10053921,195,72,0.369230769230769
"2523",10307997,185,53,0.286486486486487
"2530",10036677,183,35,0.191256830601093
"2532",10034779,145,49,0.337931034482759
"2533",30057356,220,54,0.245454545454545
"2542",30056996,430,100,0.232558139534884
"2543",30057572,312,83,0.266025641025641
"2550",10184521,224,49,0.21875
"2555",10034539,131,46,0.351145038167939
"2576",10056002,125,42,0.336
"2587",10057378,273,109,0.399267399267399
"2589",10307882,64,11,0.171875
"2597",10037205,241,71,0.294605809128631
"2599",10056325,3006,1214,0.403858948769128
"2600",10057390,57,13,0.228070175438596
"2602",10308366,69,16,0.231884057971014
"2620",10053873,65,17,0.261538461538462
"2627",10083191,132,32,0.242424242424242
"2640",10053920,54,22,0.407407407407407
"2641",10056365,527,176,0.333965844402277
"2642",50056996,134,23,0.171641791044776
"2643",10057071,48,14,0.291666666666667
"2644",60057560,136,33,0.242647058823529
"2648",10306600,94,20,0.212765957446809
"2668",10307320,132,25,0.189393939393939
"2669",10083043,250,63,0.252
"2675",10033739,104,23,0.221153846153846
"2676",10034613,576,178,0.309027777777778
"2687",10036689,180,58,0.322222222222222
"2696",10083272,95,50,0.526315789473684
"2699",10035940,59,12,0.203389830508475
"2700",10034441,76,12,0.157894736842105
"2703",10034295,107,33,0.308411214953271
"2705",10058076,1032,322,0.312015503875969
"2708",10083034,705,152,0.215602836879433
"2713",10036080,90,31,0.344444444444444
"2722",10307866,486,87,0.179012345679012
"2727",10058032,77,26,0.337662337662338
"2730",10308008,106,19,0.179245283018868
"2742",10056012,161,51,0.316770186335404
"2757",10035887,752,126,0.167553191489362
"2760",10056369,45,18,0.4
"2771",10053937,214,40,0.186915887850467
"2774",10056788,3639,1435,0.394339104149492
"2776",10082588,52,15,0.288461538461538
"2789",10307999,169,38,0.224852071005917
"2792",10307099,571,111,0.194395796847636
"2793",10307984,208,38,0.182692307692308
"2798",10056306,82,26,0.317073170731707
"2801",10056353,224,86,0.383928571428571
"2811",10034070,244,45,0.184426229508197
"2814",10053938,75,19,0.253333333333333
"2815",10083172,538,114,0.211895910780669
"2820",10037408,308,49,0.159090909090909
"2822",10056235,69,21,0.304347826086957
"2823",10137418,151,66,0.437086092715232
"2830",10056337,339,140,0.412979351032448
"2833",10082760,150,26,0.173333333333333
"2844",10056076,138,45,0.326086956521739
"2845",10053948,54,17,0.314814814814815
"2857",10083162,90,23,0.255555555555556
"2861",10036103,94,23,0.24468085106383
"2862",10056078,435,183,0.420689655172414
"2871",10053901,241,103,0.427385892116183
"2879",10056053,169,48,0.284023668639053
"2891",10034814,623,218,0.34991974317817
"2896",10308162,452,102,0.225663716814159
"2899",10083259,143,54,0.377622377622378
"2903",10037298,120,19,0.158333333333333
"2906",10037220,46,29,0.630434782608696
"2909",10083287,52,8,0.153846153846154
"2916",10057267,213,89,0.417840375586854
"2920",10081784,90,17,0.188888888888889
"2926",10036814,47,9,0.191489361702128
"2927",10056109,45,11,0.244444444444444
"2931",10083133,151,43,0.28476821192053
"2936",10035965,49,8,0.163265306122449
"2940",10056223,523,186,0.355640535372849
"2941",10308365,92,21,0.228260869565217
"2953",10058014,174,65,0.373563218390805
"2957",10307117,167,41,0.245508982035928
"2967",10053909,121,38,0.31404958677686
"2968",10056103,198,65,0.328282828282828
"2969",10053951,1001,340,0.33966033966034
"2978",10034780,104,27,0.259615384615385
"2985",10307281,45,7,0.155555555555556
"3002",10308174,417,65,0.155875299760192
"3004",10082735,137,34,0.248175182481752
"3011",10035883,149,28,0.187919463087248
"3014",10056324,59,21,0.355932203389831
"3037",10184806,54,12,0.222222222222222
"3051",10082053,171,38,0.222222222222222
"3052",10083260,85,51,0.6
"3055",10081832,75,15,0.2
"3061",10036676,146,34,0.232876712328767
"3063",10056362,71,18,0.253521126760563
"3068",10081817,60,21,0.35
"3070",10082931,605,315,0.520661157024793
"3077",10056110,119,55,0.46218487394958
"3078",10056350,99,43,0.434343434343434
"3088",10056228,78,34,0.435897435897436
"3089",10053934,157,46,0.292993630573248
"3098",10056015,132,32,0.242424242424242
"3099",60057520,53,17,0.320754716981132
"3106",10307314,106,26,0.245283018867925
"3108",10308439,200,61,0.305
"3109",10081839,77,14,0.181818181818182
"3113",10034394,290,66,0.227586206896552
"3114",10056222,127,29,0.228346456692913
"3115",10056225,219,115,0.525114155251142
"3116",10057522,141,32,0.226950354609929
"3117",10057520,198,48,0.242424242424242
"3124",10307260,190,35,0.184210526315789
"3133",10056113,96,34,0.354166666666667
"3135",10057533,231,79,0.341991341991342
"3136",10056866,47,15,0.319148936170213
"3138",10057407,61,12,0.19672131147541
"3141",10056988,210,32,0.152380952380952
"3143",10308094,208,33,0.158653846153846
"3147",10082752,59,42,0.711864406779661
"3156",10053933,157,57,0.363057324840764
"3157",10056073,250,104,0.416
"3158",10056255,45,27,0.6
"3170",60035888,72,14,0.194444444444444
"3171",10034705,1170,231,0.197435897435897
"3174",10034289,500,111,0.222
"3177",10056307,252,99,0.392857142857143
"3179",10057096,48,18,0.375
"3183",60082932,53,18,0.339622641509434
"3185",10081838,159,61,0.383647798742138
"3193",10083151,64,35,0.546875
"3195",10081840,256,60,0.234375
"3220",10083297,58,15,0.258620689655172
"3222",10183143,252,39,0.154761904761905
"3228",10057052,55,15,0.272727272727273
"3234",10082956,46,25,0.543478260869565
"3241",10034626,225,63,0.28
"3244",10056162,80,26,0.325
"3246",10308321,695,154,0.22158273381295
"3261",10053991,189,76,0.402116402116402
"3265",10057011,161,32,0.198757763975155
"3269",10308084,287,97,0.337979094076655
"3271",10083273,183,41,0.224043715846995
"3281",10053926,526,181,0.344106463878327
"3282",10057558,1270,438,0.34488188976378
"3287",10082622,162,35,0.216049382716049
"3303",10036138,62,19,0.306451612903226
"3308",10075071,1205,250,0.20746887966805
"3313",10307851,110,19,0.172727272727273
"3325",10075513,277,59,0.212996389891697
"3326",10057507,91,15,0.164835164835165
"3343",10056263,249,84,0.337349397590361
"3345",10076521,280,95,0.339285714285714
"3349",10308082,4195,734,0.174970202622169
"3352",10082623,250,52,0.208
"3353",10183302,101,25,0.247524752475248
"3360",10075353,262,103,0.393129770992366
"3376",10076956,899,401,0.446051167964405
"3377",10076942,167,83,0.497005988023952
"3378",60056788,111,41,0.369369369369369
"3393",10037243,46,13,0.282608695652174
"3394",10056334,60,22,0.366666666666667
"3402",10308582,284,66,0.232394366197183
"3410",10057186,92,27,0.293478260869565
"3414",10082592,413,129,0.312348668280872
"3415",10166072,183,53,0.289617486338798
"3422",10057357,47,11,0.234042553191489
"3433",10034276,267,88,0.329588014981273
"3437",10075528,468,210,0.448717948717949
"3445",10186175,122,19,0.155737704918033
"3452",10057374,439,96,0.218678815489749
"3460",10036106,324,52,0.160493827160494
"3461",10056130,128,35,0.2734375
"3469",10057528,68,12,0.176470588235294
"3473",10184894,135,31,0.22962962962963
"3476",10075580,1422,527,0.370604781997187
"3504",10307262,237,43,0.181434599156118
"3505",10082778,248,69,0.278225806451613
"3511",10037192,79,16,0.20253164556962
"3512",20075072,139,44,0.316546762589928
"3525",60075580,51,18,0.352941176470588
"3538",10307974,232,45,0.193965517241379
"3539",10308431,373,113,0.302949061662198
"3547",10075432,751,369,0.491344873501997
"3553",10057509,154,31,0.201298701298701
"3568",10075569,227,52,0.229074889867841
"3569",60076956,63,27,0.428571428571429
"3574",10057295,113,32,0.283185840707965
"3580",10186076,47,8,0.170212765957447
"3594",60075568,102,36,0.352941176470588
"3595",10074918,1085,467,0.430414746543779
"3599",10081862,63,12,0.19047619047619
"3612",10034630,45,12,0.266666666666667
"3613",60075432,49,17,0.346938775510204
"3616",10083035,174,42,0.241379310344828
"3619",10166172,374,100,0.267379679144385
